[s6-init] making user provided files available at /var/run/s6/etc...exited 0.
[s6-init] ensuring user provided files have correct perms...exited 0.
[fix-attrs.d] applying ownership & permissions fixes...
[fix-attrs.d] done.
[cont-init.d] executing container initialization scripts...
[cont-init.d] done.
[services.d] starting services
/opt/bin/serf agent --join ha --tag role=backend
==> Starting Serf agent...
==> Starting Serf agent RPC...
==> Serf agent running!
         Node name: 'dd275b383850'
         Bind addr: '0.0.0.0:7946'
                       RPC addr: '127.0.0.1:7373'
                      Encrypted: false
                       Snapshot: false
                        Profile: lan
    Message Compression Enabled: true
==> Joining cluster...(replay: false)
    Join completed. Synced with 1 initial agents

==> Log data will now stream in as it occurs:

    2022/01/03 13:24:25 [INFO] agent: Serf agent starting
    2022/01/03 13:24:25 [INFO] serf: EventMemberJoin: dd275b383850 192.168.42.22
    2022/01/03 13:24:26 [INFO] agent: joining: [ha] replay: false
    2022/01/03 13:24:26 [INFO] serf: EventMemberJoin: 72611f825471 192.168.42.42
    2022/01/03 13:24:26 [INFO] agent: joined: 1 nodes
[services.d] done.
    2022/01/03 13:24:26 [INFO] serf: EventMemberJoin: 8150be7ba1f8 192.168.42.11
Application started
HEAD / 200 7.905 ms - 129
    2022/01/03 13:24:27 [INFO] agent: Received event: member-join
HEAD / 200 2.390 ms - 129
HEAD / 200 1.027 ms - 129
HEAD / 200 1.950 ms - 129
HEAD / 200 6.023 ms - 129
HEAD / 200 2.202 ms - 129
HEAD / 200 2.726 ms - 129
HEAD / 200 1.649 ms - 129
HEAD / 200 1.321 ms - 129
HEAD / 200 1.313 ms - 129
HEAD / 200 4.485 ms - 129
HEAD / 200 6.030 ms - 129
HEAD / 200 1.746 ms - 129
HEAD / 200 1.291 ms - 129
HEAD / 200 1.538 ms - 129
HEAD / 200 4.018 ms - 129
HEAD / 200 1.501 ms - 129
HEAD / 200 3.210 ms - 129
HEAD / 200 2.759 ms - 129
HEAD / 200 1.489 ms - 129
HEAD / 200 4.491 ms - 129
HEAD / 200 2.616 ms - 129
HEAD / 200 2.618 ms - 129
HEAD / 200 0.784 ms - 129
HEAD / 200 2.638 ms - 129
HEAD / 200 1.069 ms - 129
HEAD / 200 6.705 ms - 129
HEAD / 200 11.406 ms - 129
HEAD / 200 1.592 ms - 129
HEAD / 200 1.341 ms - 129
HEAD / 200 6.028 ms - 129
HEAD / 200 1.250 ms - 129
HEAD / 200 1.883 ms - 129
HEAD / 200 0.783 ms - 129
HEAD / 200 0.654 ms - 129
HEAD / 200 1.082 ms - 129
HEAD / 200 0.999 ms - 129
HEAD / 200 0.705 ms - 129
HEAD / 200 2.272 ms - 129
HEAD / 200 3.344 ms - 129
HEAD / 200 1.086 ms - 129
HEAD / 200 0.819 ms - 129
HEAD / 200 0.659 ms - 129
HEAD / 200 0.915 ms - 129
HEAD / 200 4.557 ms - 129
HEAD / 200 0.613 ms - 129
HEAD / 200 6.557 ms - 129
HEAD / 200 1.551 ms - 129
HEAD / 200 0.774 ms - 129
HEAD / 200 1.008 ms - 129
HEAD / 200 0.895 ms - 129
HEAD / 200 3.176 ms - 129
HEAD / 200 0.966 ms - 129
HEAD / 200 1.775 ms - 129
HEAD / 200 1.734 ms - 129
HEAD / 200 2.462 ms - 129
HEAD / 200 1.289 ms - 129
HEAD / 200 1.171 ms - 129
HEAD / 200 0.765 ms - 129
HEAD / 200 18.510 ms - 129
HEAD / 200 0.604 ms - 129
HEAD / 200 0.933 ms - 129
HEAD / 200 1.472 ms - 129
HEAD / 200 0.995 ms - 129
HEAD / 200 2.044 ms - 129
